numero_ata;numero_item;codigo_unidade;nome_unidade;tipo_participacao;qtd_reservada;saldo_remanejamento;qtd_empenhada;saldo_empenho;data_atualizacao_saldo
00001/2023;00001;130083;SUPERINT.DE AGRICULTURA E PECUARIA - SFA/RO;PARTICIPANTE;140.0;140.0;;;
00001/2023;00001;153164;UNIVERSIDADE FEDERAL DE SANTA MARIA;NÃO PARTICIPANTE;190.0;;0.5;189.5;2025-11-20T04:41:00
00001/2023;00001;154040;FUNDACAO UNIVERSIDADE DE BRASILIA - FUB/DF;PARTICIPANTE;3100.0;3099.0;;;
00001/2023;00001;154628;INST.FEDERAL FARROUPILHA CAMPUS JAGUARI;PARTICIPANTE;34.0;34.0;0.0;34.0;2025-11-20T04:41:00
00001/2023;00001;154773;INST.FED.SUL-RIO-GRANDENSE/SANT.DO LIVRAMENTO;PARTICIPANTE;80.0;75.0;5.0;75.0;2025-11-20T04:41:00
00001/2023;00001;154856;INST.FED.DO MARANHAO/CAMPUS VIANA;PARTICIPANTE;38.0;38.0;;;
00001/2023;00001;155081;INST.FED.FARROUPILHA/CAMPUS SANTO ANGELO;PARTICIPANTE;50.0;50.0;;;
00001/2023;00001;155570;CAMPUS FREDERICO WESTPHALEN;PARTICIPANTE;30.0;30.0;0.0;30.0;2025-11-20T04:41:00
00001/2023;00001;158122;INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS;PARTICIPANTE;1040.0;1039.0;1.0;1039.0;2025-05-27T14:25:36
00001/2023;00001;158123;INSTITUTO FED CIENCIA TECNOL SUDESTE MG;NÃO PARTICIPANTE;750.0;;124.0;626.0;2025-11-20T04:41:00
00001/2023;00001;158125;INSTITUTO FEDERAL CATARINENSE - REITORIA;PARTICIPANTE;720.0;620.0;100.0;620.0;2025-05-27T14:25:36
00001/2023;00001;158127;INST.FED.DE EDUC.,CIENC.E TEC.FARROUPILHA;PARTICIPANTE;360.0;359.0;1.0;359.0;2025-11-20T04:41:00
00001/2023;00001;158128;INST.FED.DE EDUC.,CIENC.E TEC.DO MARANHAO;PARTICIPANTE;778.0;778.0;;;
00001/2023;00001;158132;INST.FED.DE EDUC.,CIENC.E TEC.DO MAT.G.DO SUL;GERENCIADORA;790.0;781.0;9.0;781.0;2025-11-20T04:41:00
00001/2023;00001;158135;INST.FED.DE EDUC.,CIENC.E TEC.DO PARA;PARTICIPANTE;2020.0;2019.0;1.0;2019.0;2025-11-20T04:41:00
00001/2023;00001;158139;INST.FED.DE EDUC.,CIENC.E TEC.FLUMINENSE;PARTICIPANTE;294.0;0.0;294.0;0.0;2025-11-20T04:41:00
00001/2023;00001;158141;INST.FED.DE EDUC.,CIENC.E TEC.DO RS;PARTICIPANTE;240.0;106.0;134.0;106.0;2025-11-20T04:41:00
00001/2023;00001;158144;INST.FED.DE EDUC.,CIENC.E TEC.DO MATO GROSSO;NÃO PARTICIPANTE;498.0;;498.0;0.0;2025-11-20T04:41:00
00001/2023;00001;158146;INST.FED.DE EDUC.,CIENC.E TEC.DO PIAUI;PARTICIPANTE;620.0;620.0;0.0;620.0;2025-11-20T04:41:00
00001/2023;00001;158153;INST.FED.DE EDUC.,CIENC.E TEC.DE GOIAS;PARTICIPANTE;400.0;399.0;1.0;399.0;2025-11-20T04:41:00
00001/2023;00001;158266;INST.FED.FARROUPILHA/CAMPUS SANTO AUGUSTO;PARTICIPANTE;30.0;30.0;0.0;30.0;2025-11-20T04:41:00
00001/2023;00001;158267;INST.FED.FARROUPILHA/CAMPUS DE ALEGRETE;PARTICIPANTE;40.0;40.0;0.0;40.0;2025-11-20T04:41:00
00001/2023;00001;158268;INST.FED.FARROUPILHA/CAMPUS SAO VICENTE SUL;PARTICIPANTE;50.0;0.0;50.0;0.0;2025-11-20T04:41:00
00001/2023;00001;158269;INST.FED.FARROUPILHA/CAMPUS JULIO CASTILHOS;PARTICIPANTE;32.0;32.0;0.0;32.0;2025-11-20T04:41:00
