id_contrato;origem_sigla;tipo;modalidade;processo;numero;unidade_compra;codigo_modalidade;licitacao_numero;fornecedor_nome;link_responsaveis;prorrogavel;valor_parcela;vigencia_inicio;vigencia_fim
10342;PP;Contrato;Pregão;23347.103897/2014-11;00001/2016;158454;05;00001/2015;TRIVALE INSTITUICAO DE PAGAMENTO LTDA;https://contratos.comprasnet.gov.br/api/contrato/10342/responsaveis;;5.329,23;2016-01-26;2021-01-25
14953;PP;Contrato;Pregão;23347.022748/2016-13;00001/2017;158453;05;00011/2016;SANAGUA TECNOLOGIA EM ANALISE AMBIENTAL E DERIVADOS DE PETROLEO LTDA;https://contratos.comprasnet.gov.br/api/contrato/14953/responsaveis;;0,00;2017-01-10;2022-01-10
20559;PP;Contrato;Pregão;01037.970207/2018-38;00001/2018;201057;05;00001/2017;VOETUR TURISMO E REPRESENTACOES LTDA;https://contratos.comprasnet.gov.br/api/contrato/20559/responsaveis;;0,00;2018-04-01;2021-04-01
21812;PP;Contrato;Pregão;23347.019914/2016-02;00002/2017;158132;05;00017/2016;SECURITY SEGURANCA LTDA;https://contratos.comprasnet.gov.br/api/contrato/21812/responsaveis;;449.864,16;2017-05-17;2022-05-16
26827;PP;Contrato;Pregão;23347.003772/2018-15;00002/2018;170106;05;00001/2018;PH RECURSOS HUMANOS LTDA;https://contratos.comprasnet.gov.br/api/contrato/26827/responsaveis;;31.036,90;2018-07-02;2021-12-26
29851;PP;Contrato;Pregão;23347.004906/2018-15;00003/2018;158453;05;00003/2018;CONSOLIDEZ SERVICOS DE LIMPEZA LTDA;https://contratos.comprasnet.gov.br/api/contrato/29851/responsaveis;;27.714,49;2018-07-23;2022-07-22
29852;PP;Contrato;Pregão;23347.004906/2018-15;00005/2018;158453;05;00003/2018;PHENIX SOLUCOES LTDA;https://contratos.comprasnet.gov.br/api/contrato/29852/responsaveis;;19.309,86;2018-07-23;2023-07-22
29915;PP;Contrato;Pregão;23347.015897/2018-98;00002/2019;155848;05;00002/2018;PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;https://contratos.comprasnet.gov.br/api/contrato/29915/responsaveis;;3.654,29;2019-05-10;2024-05-10
72020;PP;Contrato;Inexigibilidade;23347.000665/2014-10;00004/2014;158453;07;00003/2014;EMPRESA DE SANEAMENTO DE MATO GROSSO DO SUL S.A.SANESUL;https://contratos.comprasnet.gov.br/api/contrato/72020/responsaveis;;31.270,20;2014-07-09;2099-12-31
82432;PP;Contrato;Pregão;23347.007020/2020-48;00001/2020;158453;05;00004/2020;M.S. EXTINTORES E EQUIPAMENTOS DE SEGURANCA LTDA;https://contratos.comprasnet.gov.br/api/contrato/82432/responsaveis;;2.412,00;2020-12-21;2022-12-21
