id_responsavel;id_contrato;usuario;funcao_id;portaria;data_inicio;data_fim;situacao
691157;10342;JOÃO PAULO GONZALEZ GONCALVES;Fiscal Titular;112/19;2019-11-21;;Ativo
691162;10342;ELVIS LEANDRO DOS SANTOS;Fiscal Substituto;112/2019;2019-11-21;;Ativo
427270;112143;EVERTON CAIRES DA SILVA;Gestor;PORTARIA Nº 020, DE 29 DE MARÇO DE 2023;2023-03-29;;Ativo
427273;112143;DIEGO RESENDE PACHECO;Gestor Substituto;PORTARIA Nº 020, DE 29 DE MARÇO DE 2023;2023-03-29;;Ativo
427282;112178;EVERTON CAIRES DA SILVA;Gestor;PORTARIA Nº 020, DE 29 DE MARÇO DE 2023;2023-03-29;;Ativo
475290;113995;CLAUDIA CAZETTA JERONIMO SALVATINO;Fiscal Substituto;PORTARIA Nº 52 DE 13 DE JULHO DE 2022;2022-07-13;2025-04-10;Inativo
532175;113995;JENIFER SERRA LINO;Gestor;PORTARIA Nº 24 DE 10 DE ABRIL DE 2025;2025-04-10;;Ativo
532179;113995;PEDRO JORGE CARDOSO DA SILVA RODRIGUES;Fiscal Titular;PORTARIA Nº 24 DE 10 DE ABRIL DE 2025;2025-04-10;;Ativo
532181;113995;JENIFER SERRA LINO;Fiscal Substituto;PORTARIA Nº 24 DE 10 DE ABRIL DE 2025;2025-04-10;;Ativo
475289;113995;PEDRO JORGE CARDOSO DA SILVA RODRIGUES;Fiscal Titular;PORTARIA Nº 52 DE 13 DE JULHO DE 2022;2022-07-13;2025-04-10;Inativo
532177;113995;PEDRO JORGE CARDOSO DA SILVA RODRIGUES;Gestor Substituto;PORTARIA Nº 24 DE 10 DE ABRIL DE 2025;2025-04-10;;Ativo
675586;119715;JOÃO PAULO GONZALEZ GONCALVES;Gestor;4/2026;2026-01-06;;Ativo
675588;119715;ELVIS LEANDRO DOS SANTOS;Gestor Substituto;4/2026;2026-01-06;;Ativo
675589;119715;THARLES MESQUITA ARAUJO;Fiscal Administrativo;4/2026;2026-01-06;;Ativo
675590;119715;ELVIS LEANDRO DOS SANTOS;Fiscal Técnico;4/2026;2026-01-06;;Ativo
675591;119715;MARCELO RIGOTTI;Fiscal Técnico Substituto;4/2026;2026-01-06;;Ativo
422819;119920;EVERTON CAIRES DA SILVA;Gestor;PORTARIA Nº 022, DE 29 DE MARÇO DE 2023;2023-03-29;;Ativo
688387;122806;JOÃO LUCAS DA COSTA SANTOS DE ALMEIDA;Fiscal Administrativo;2/2025;2025-01-13;;Ativo
688390;122806;ALLAN TONIAZZO DE MATOS;Fiscal Substituto;2/2025;2025-01-13;;Ativo
132933;127956;ERIKE DE CASTRO COSTA;Gestor;143;2022-02-15;;Ativo
132934;127956;LUIZ RICARDO JUNQUEIRA DE LIMA;Gestor Substituto;143;2022-02-15;;Ativo
132935;127956;JOEMAR MENDES REGO;Fiscal Setorial;143;2022-02-15;;Inativo
443869;129005;LAURA DE SOUZA FERNANDES RAMOS;Fiscal Setorial;RT 273/2024;2024-02-21;;Ativo
539452;131925;ALLAN TONIAZZO DE MATOS;Fiscal Titular;PORTARIA - PONTA PORÃ 947/2022 - PP-DIRGE/PP-IFMS/IFMS;2022-08-05;;Ativo
539453;131925;JOÃO LUCAS DA COSTA SANTOS DE ALMEIDA;Fiscal Substituto;PORTARIA - PONTA PORÃ 947/2022 - PP-DIRGE/PP-IFMS/IFMS;2022-08-05;;Ativo
656299;132571;GABRIELE DE ARRUDA CARDOSO;Fiscal Setorial;PORTARIA Nº 571 DE 30 DE MAIO DE 2025;2025-05-30;;Ativo
656300;132571;FABIANO DA ANUNCIAÇÃO CAMPOÇANO;Fiscal Setorial;PORTARIA Nº 571 DE 30 DE MAIO DE 2025;2025-05-30;;Ativo
656302;132571;JAQUELINE DA SILVA AMAZONAS;Fiscal Setorial Substituto;PORTARIA Nº 571 DE 30 DE MAIO DE 2025;2025-05-30;;Ativo
656304;132571;DILSON ALMEIDA DOS SANTOS;Fiscal Setorial Substituto;PORTARIA Nº 571 DE 30 DE MAIO DE 2025;2025-05-30;;Ativo
