codigo_pdm;codigo_natureza;nome_natureza;grupo;status_natureza
1026;44905212;EQUIPAMENTOS E MATERIAL PERMANENTE - APARELHOS E UTENSILIOS DOMESTICOS;permanente;Ativo
1045;44905212;EQUIPAMENTOS E MATERIAL PERMANENTE - APARELHOS E UTENSILIOS DOMESTICOS;permanente;Ativo
1069;44905212;EQUIPAMENTOS E MATERIAL PERMANENTE - APARELHOS E UTENSILIOS DOMESTICOS;permanente;Ativo
1115;33903021;MATERIAL DE CONSUMO - MATERIAL DE COPA E COZINHA;consumo;Ativo
11348;33903024;MATERIAL DE CONSUMO - MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;consumo;Ativo
11534;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
11534;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
11902;33903022;MATERIAL DE CONSUMO - MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO;consumo;Ativo
11902;33903021;MATERIAL DE CONSUMO - MATERIAL DE COPA E COZINHA;consumo;Ativo
11902;33903035;MATERIAL DE CONSUMO - MATERIAL LABORATORIAL;consumo;Ativo
11902;44903022;MATERIAL DE CONSUMO - MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO;permanente;Ativo
11902;33903019;MATERIAL DE CONSUMO - MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;consumo;Ativo
12;33903016;MATERIAL DE CONSUMO - MATERIAL DE EXPEDIENTE;consumo;Ativo
12061;33903011;MATERIAL DE CONSUMO - MATERIAL QUIMICO;consumo;Ativo
12254;33903011;MATERIAL DE CONSUMO - MATERIAL QUIMICO;consumo;Ativo
12399;33903017;MATERIAL DE CONSUMO - MATERIAL DE TIC - MATERIAL DE CONSUMO;consumo;Ativo
1275;33903022;MATERIAL DE CONSUMO - MATERIAL DE LIMPEZA E PROD. DE HIGIENIZACAO;consumo;Ativo
1275;33903019;MATERIAL DE CONSUMO - MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;consumo;Ativo
12936;44905240;EQUIPAMENTOS E MATERIAL PERMANENTE - MAQUINAS E EQUIPAMENTOS AGRIC. E RODOVIARIOS;permanente;Ativo
13388;33903205;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MERCADORIAS PARA DOACAO;consumo;Ativo
13388;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
13388;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
13546;33909292;DESPESAS DE EXERCICIOS ANTERIORES - MATERIAL DE CONSUMO;consumo;Ativo
13546;44905196;OBRAS E INSTALACOES - ALMOXARIFADO DE OBRAS;permanente;Ativo
13546;33903024;MATERIAL DE CONSUMO - MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;consumo;Ativo
13644;33903025;MATERIAL DE CONSUMO - MATERIAL P/ MANUTENCAO DE BENS MOVEIS;consumo;Ativo
13768;44905212;EQUIPAMENTOS E MATERIAL PERMANENTE - APARELHOS E UTENSILIOS DOMESTICOS;permanente;Ativo
13768;44905251;EQUIPAMENTOS E MATERIAL PERMANENTE - PECAS NAO INCORPORAVEIS A IMOVEIS;permanente;Ativo
13768;44905234;EQUIPAMENTOS E MATERIAL PERMANENTE - MAQUINAS, UTENSILIOS E EQUIPAMENTOS DIVERSOS;permanente;Ativo
14127;33903011;MATERIAL DE CONSUMO - MATERIAL QUIMICO;consumo;Ativo
14302;44905230;EQUIPAMENTOS E MATERIAL PERMANENTE - MAQUINAS E EQUIPAMENTOS ENERGETICOS;permanente;Ativo
14419;44905252;EQUIPAMENTOS E MATERIAL PERMANENTE - VEICULOS DE TRACAO MECANICA;permanente;Ativo
14461;33903024;MATERIAL DE CONSUMO - MATERIAL P/ MANUT.DE BENS IMOVEIS/INSTALACOES;consumo;Ativo
1461;44905240;EQUIPAMENTOS E MATERIAL PERMANENTE - MAQUINAS E EQUIPAMENTOS AGRIC. E RODOVIARIOS;permanente;Ativo
1461;44905234;EQUIPAMENTOS E MATERIAL PERMANENTE - MAQUINAS, UTENSILIOS E EQUIPAMENTOS DIVERSOS;permanente;Ativo
1505;33903044;MATERIAL DE CONSUMO - MATERIAL DE SINALIZACAO VISUAL E OUTROS;consumo;Ativo
16887;44905234;EQUIPAMENTOS E MATERIAL PERMANENTE - MAQUINAS, UTENSILIOS E EQUIPAMENTOS DIVERSOS;permanente;Ativo
16887;44925228;;permanente;Inativo
16936;33903025;MATERIAL DE CONSUMO - MATERIAL P/ MANUTENCAO DE BENS MOVEIS;consumo;Ativo
16936;44905212;EQUIPAMENTOS E MATERIAL PERMANENTE - APARELHOS E UTENSILIOS DOMESTICOS;permanente;Ativo
16936;33903026;MATERIAL DE CONSUMO - MATERIAL ELETRICO E ELETRONICO;consumo;Ativo
17262;33903023;MATERIAL DE CONSUMO - UNIFORMES, TECIDOS E AVIAMENTOS;consumo;Ativo
17294;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
18071;33903016;MATERIAL DE CONSUMO - MATERIAL DE EXPEDIENTE;consumo;Ativo
18071;33903019;MATERIAL DE CONSUMO - MATERIAL DE ACONDICIONAMENTO E EMBALAGEM;consumo;Ativo
18359;33903014;MATERIAL DE CONSUMO - MATERIAL EDUCATIVO E ESPORTIVO;consumo;Ativo
18653;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
18653;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
19586;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19588;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
196;33903016;MATERIAL DE CONSUMO - MATERIAL DE EXPEDIENTE;consumo;Ativo
196;33909292;DESPESAS DE EXERCICIOS ANTERIORES - MATERIAL DE CONSUMO;consumo;Ativo
196;33903204;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL EDUCACIONAL E CULTURAL;consumo;Ativo
19690;33903205;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MERCADORIAS PARA DOACAO;consumo;Ativo
19690;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19690;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
19691;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19691;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
19692;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19692;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
19694;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19694;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
19696;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19696;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
19714;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19720;33903205;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MERCADORIAS PARA DOACAO;consumo;Ativo
19720;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19720;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
19721;33903007;MATERIAL DE CONSUMO - GENEROS DE ALIMENTACAO;consumo;Ativo
19721;33903203;MATERIAL, BEM OU SERVICO P/ DISTRIB. GRATUITA - MATERIAL DESTINADO A ASSISTENCIA SOCIAL;consumo;Ativo
